full_name,stargazers_count,description,html_url,type
Azure/Industrial-IoT,376,Azure Industrial IoT Platform,https://github.com/Azure/Industrial-IoT,iot
itead/IoTgo,365,Open source IoT cloud service,https://github.com/itead/IoTgo,iot
emqx/nanomq,334,Nano MQTT Broker - An Ultra-light and Blazing-fast MQTT Broker for IoT Edge,https://github.com/emqx/nanomq,iot
Azure/opendigitaltwins-dtdl,293,IoT Plug And Play,https://github.com/Azure/opendigitaltwins-dtdl,iot
netbeast/dashboard,287,:star2:  Create IoT applications. Wire devices together regardless their brand or technology.,https://github.com/netbeast/dashboard,iot
noopkat/electric-io,278,⚡️🌋🌔 The cutest IoT dashboard of your dreams ☁️,https://github.com/noopkat/electric-io,iot
cjimti/iotwifi,268,Raspberry Pi (arm) wifi configuration container. Configure and control wifi connectivity with a JSON based REST api.,https://github.com/cjimti/iotwifi,iot
ernoaapa/eliot,262,Open source system for managing containerized applications in IoT device,https://github.com/ernoaapa/eliot,iot
Azure/azure-iot-sdk-node,231,A Node.js SDK for connecting devices to Microsoft Azure IoT services,https://github.com/Azure/azure-iot-sdk-node,iot
Azure/azure-iot-protocol-gateway,212,Azure IoT protocol gateway enables protocol translation for Azure IoT Hub,https://github.com/Azure/azure-iot-protocol-gateway,iot
NTAP/quant,210,QUIC implementation for POSIX and IoT platforms,https://github.com/NTAP/quant,iot
openhab/openhab-docker,183,Repository for building Docker containers for openHAB,https://github.com/openhab/openhab-docker,iot
helmut-hoffer-von-ankershoffen/jetson,181,"Helmut Hoffer von Ankershoffen experimenting with arm64 based NVIDIA Jetson (Nano and AGX Xavier) edge devices running Kubernetes (K8s) for machine learning (ML) including Jupyter Notebooks, TensorFlow Training and TensorFlow Serving using CUDA for smart IoT.",https://github.com/helmut-hoffer-von-ankershoffen/jetson,iot
Azure/ai-toolkit-iot-edge,179,AI Toolkit for Azure IoT Edge,https://github.com/Azure/ai-toolkit-iot-edge,iot
microsoft/vscode-iot-workbench,169,Azure IoT Device Workbench for Visual Studio Code,https://github.com/microsoft/vscode-iot-workbench,iot
RubensZimbres/Repo-2018,165,Deep Learning Summer School + Tensorflow + OpenCV cascade training + YOLO + COCO + CycleGAN + AWS EC2 Setup + AWS IoT Project + AWS SageMaker + AWS API Gateway + Raspberry Pi3 Ubuntu Core,https://github.com/RubensZimbres/Repo-2018,iot
Azure/azure-iot-pcs-remote-monitoring-dotnet,162,Azure IoT .NET solution for Remote Monitoring,https://github.com/Azure/azure-iot-pcs-remote-monitoring-dotnet,iot
rash-sh/rash,157,Declarative shell scripting container oriented,https://github.com/rash-sh/rash,iot
Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,157,Sample showing how to deploy a AI model from the Custom Vision service to a Raspberry Pi 3 device using Azure IoT Edge,https://github.com/Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi,iot
NVIDIA-AI-IOT/jetson-cloudnative-demo,141,Multi-container demo for Jetson Xavier NX and Jetson AGX Xavier,https://github.com/NVIDIA-AI-IOT/jetson-cloudnative-demo,iot
vinitshahdeo/Water-Monitoring-System,140,Water Monitoring System is an IOT based Liquid Level Monitoring system that has mechanisms to keep the user alerted in case of liquid overflow or when tank depletes.,https://github.com/vinitshahdeo/Water-Monitoring-System,iot
mudler/luet,140,:package: :whale: 0-dependency Container-based Package Manager,https://github.com/mudler/luet,iot
idavis/jetson-containers,133,Running CUDA containers on the Jetson platform,https://github.com/idavis/jetson-containers,iot
Azure-Samples/NVIDIA-Deepstream-Azure-IoT-Edge-on-a-NVIDIA-Jetson-Nano,134,This is a sample showing how to do real-time video analytics with NVIDIA DeepStream connected to Azure via Azure IoT Edge. It uses a NVIDIA Jetson Nano device that can process up to 8 real-time video streams concurrently.,https://github.com/Azure-Samples/NVIDIA-Deepstream-Azure-IoT-Edge-on-a-NVIDIA-Jetson-Nano,iot
Azure/azure-iotedge,130,The Azure IoT Edge product,https://github.com/Azure/azure-iotedge,iot
Azure/iotedgedev,126,The Azure IoT Edge Dev Tool greatly simplifies your Azure IoT Edge development process. It has everything you need to get started and helps with your day-to-day Edge development.,https://github.com/Azure/iotedgedev,iot
qnap-dev/qnap-qiot-sdks,109,QNAP QIoT - quickly structure your IoT environment and deployment,https://github.com/qnap-dev/qnap-qiot-sdks,iot
riclolsen/json-scada,106,A portable and scalable SCADA/IIoT-I4.0 platform centered on the MongoDB database server.,https://github.com/riclolsen/json-scada,iot
hainingzhang/articles,104,"Articles on technical topics such as blockchain, container and IoT.",https://github.com/hainingzhang/articles,iot
alibaba/AliOS-Things-Linux-Edition,102,AliOS Things Linux Edition released by Alibaba is an open-source implementation of operating system (OS) for Internet of Things (IoT).,https://github.com/alibaba/AliOS-Things-Linux-Edition,iot
OlivierLD/raspberry-coffee,103,"JVM related (Java, Groovy, Scala, Kotlin, etc) samples for the Raspberry PI, relying on PI4J. IoT and friends. ",https://github.com/OlivierLD/raspberry-coffee,iot
Azure/device-simulation-dotnet,101,IoT Simulation service,https://github.com/Azure/device-simulation-dotnet,iot
containernetworking/cni,4098,Container Network Interface - networking for Linux containers,https://github.com/containernetworking/cni,hpc
genuinetools/img,3583,"Standalone, daemon-less, unprivileged Dockerfile and OCI compatible container image builder.",https://github.com/genuinetools/img,hpc
openhpc/ohpc,630,"OpenHPC Integration, Packaging, and Test Repo",https://github.com/openhpc/ohpc,hpc
BioContainers/containers,505,Bioinformatics containers,https://github.com/BioContainers/containers,hpc
tlkh/ai-lab,415,All-in-one AI container for rapid prototyping,https://github.com/tlkh/ai-lab,hpc
NVIDIA/enroot,346,A simple yet powerful tool to turn traditional container/OS images into unprivileged sandboxes.,https://github.com/NVIDIA/enroot,hpc
NVIDIA/hpc-container-maker,338,HPC Container Maker,https://github.com/NVIDIA/hpc-container-maker,hpc
NERSC/shifter,323,Shifter - Linux Containers for HPC,https://github.com/NERSC/shifter,hpc
Azure/batch-shipyard,260,Simplify HPC and Batch workloads on Azure,https://github.com/Azure/batch-shipyard,hpc
kubeflow/mpi-operator,255,"Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)",https://github.com/kubeflow/mpi-operator,hpc
kube-HPC/hkube,246,🐟 High Performance Computing over Kubernetes - Core Repo 🎣,https://github.com/kube-HPC/hkube,hpc
Azure-Samples/azure-batch-samples,237,Azure Batch and HPC Code Samples,https://github.com/Azure-Samples/azure-batch-samples,hpc
hpc/charliecloud,238,Lightweight user-defined software stacks for high-performance computing.,https://github.com/hpc/charliecloud,hpc
numforge/laser,233,"The HPC toolbox: fused matrix multiplication, convolution, data-parallel strided tensor primitives, OpenMP facilities, SIMD, JIT Assembler, CPU detection, state-of-the-art vectorized BLAS for floats and integers",https://github.com/numforge/laser,hpc
sylabs/singularity,214,"SingularityCE is the Community Edition of Singularity, an open source container platform designed to be simple, fast, and secure.",https://github.com/sylabs/singularity,hpc
gpuhackathons-org/gpubootcamp,209,This repository consists for gpu bootcamp material for HPC and AI,https://github.com/gpuhackathons-org/gpubootcamp,hpc
facebookresearch/dietgpu,195,"GPU implementation of a fast generalized ANS (asymmetric numeral system) entropy encoder and decoder, with extensions for lossless compression of numerical and other data types in HPC/ML applications.",https://github.com/facebookresearch/dietgpu,hpc
apptainer/apptainer,196,Apptainer: Application containers for Linux,https://github.com/apptainer/apptainer,hpc
dash-project/dash,139,"DASH, the C++ Template Library for Distributed Data Structures with Support for Hierarchical Locality for HPC and Data-Driven Science",https://github.com/dash-project/dash,hpc
mbdevpl/transpyle,103,"HPC-oriented transpiler for C, C++, Cython, Fortran, OpenCL and Python.",https://github.com/mbdevpl/transpyle,hpc
sylabs/singularity-cri,101,The Singularity implementation of the Kubernetes Container Runtime Interface,https://github.com/sylabs/singularity-cri,hpc
